Eigenval      Eigenvec
7.89813905234       0.944872208167 -1.66642626107e-15 9.46471988184e-14 9.13366593142e-15 4.76791583803e-15 -7.29646539231e-15 -1.05077996852e-15 -8.76900003045e-15 -1.29236567187e-14 -1.96787815799e-15 -0.12067259792 1.05409901294e-13 -0.271511363251 4.10807681029e-16 2.82151018386e-16 8.4332009971e-17 1.5098082379e-15 1.7615646769e-16 1.38603388591e-17 1.58371886637e-15 1.57478837962e-15 1.1952430006e-15 -0.0672347157209 -5.00723954995e-16 0.107131411595 1.23423287121e-15 2.33034353482e-16 4.12759492247e-16 3.54335032252e-16 -1.15941122012e-16 7.62284997857e-17 -2.53741642582e-16 -8.12728428361e-16 8.98136607215e-16 0.0361728945692 -1.84351075424e-16 -0.0353014653206 1.63863125128e-15 -6.45786752385e-16 -7.79756629054e-16 2.88865397802e-16 2.75361082652e-18 1.53548456199e-16 1.93301705298e-16 1.89776787306e-17 8.83195586008e-17 -0.0143878577991 2.57847766425e-17 0.0117531214832 5.21372503208e-17 3.51911882787e-17 1.2450375822e-16 2.79168906346e-17 9.19708988209e-17 -4.46401539732e-18 4.17644573796e-17 -6.31612780006e-19 1.10467394975e-16 0.00433910668675 4.95211063236e-18 0.00368702767362 4.75879411483e-17 8.35834799209e-17 -3.23887160347e-18 1.87730816195e-17 2.80861634963e-17 6.10145613414e-17 5.29672838713e-17 1.31148818518e-16 2.25025252228e-17 -0.00033875942439 6.60194868428e-18 0.000316883539033 4.60476770412e-17 8.67984201559e-17 1.32860627944e-16 -3.70479174434e-17 9.64812498542e-18 1.80912968592e-17 3.61563984486e-17 1.07959531526e-16 6.23227178763e-17 0.00106880605522 4.55874540122e-17 0.00105973421001 1.24897462484e-17 1.32210441496e-16 4.27658821769e-17 6.17264369137e-17 3.36943904884e-17 -1.10430989039e-17 1.08516136485e-16 6.09418381876e-17 -6.36415219809e-17 -0.00139155151929 2.92899111752e-17 -0.00138222975079 4.5917290854e-17 5.53707196584e-18 1.99653522435e-17
8.32539030944       -5.74540415244e-15 -0.933384603464 6.68022990553e-14 3.35851733959e-13 2.15179119668e-13 2.23385542403e-15 1.53552393087e-18 -4.56794392376e-15 -3.17411317695e-15 0.226397674462 -3.61100038759e-14 5.84503459123e-15 -4.4408920985e-16 -0.238529997947 -7.68738603785e-15 -9.55032536719e-15 -7.86149879351e-19 -2.48140467433e-15 -1.13647646741e-15 9.85696123727e-16 -2.57137443427e-15 -0.0965206405479 -2.77555756156e-15 1.07580122416e-15 -1.11022302463e-16 -0.0908698145956 -4.72108563627e-16 6.9799666983e-16 3.09506674903e-16 2.42195665528e-17 -7.66040657127e-16 -6.33565879476e-16 -4.99198465964e-16 0.04032162064 -2.16493489802e-15 2.72582379338e-16 -2.05391259556e-15 -0.0324137803779 -2.2805869003e-16 1.09041728178e-16 -1.00517190372e-16 -1.01557551993e-16 1.03560815676e-16 2.56844227977e-16 1.14728874937e-16 0.0147265421127 1.66533453694e-16 -1.56214174185e-16 1.11022302463e-16 -0.0116113572388 2.68014767459e-16 -2.18645267176e-17 1.99265857734e-16 8.8745342068e-17 4.13003199777e-16 -2.5430464256e-16 -2.87196886251e-16 -0.00438589122702 4.16333634234e-17 1.50880912758e-17 -6.93889390391e-17 -0.00365877265985 -3.96979648133e-17 -1.50691574834e-16 -7.50954138281e-17 8.25595335644e-17 -1.02049114611e-17 -2.43283859629e-16 6.97864723871e-17 0.000345599491071 1.17961196366e-16 4.4239610117e-16 -1.73472347598e-17 0.000308877103533 6.04849708441e-17 -9.17917793014e-17 -6.31201755817e-18 1.53769921511e-17 -1.16102963084e-16 -2.51650057614e-17 -1.44610073859e-16 0.001107052733 4.85722573274e-17 4.57207169078e-17 -1.38777878078e-17 0.00102436845264 1.53918587245e-16 -1.30150539749e-17 7.10668896383e-17 -3.54009035654e-17 -9.25205411844e-18 3.51988742932e-17 -5.43599379129e-17 -0.0014365296836 2.77555756156e-17 5.73031141764e-17 0.0 0.00134198067165 -1.55471220869e-16 -1.39875240394e-17
8.96127058805       -8.9900309419e-14 6.63707820936e-14 0.910526008277 -1.50198760178e-14 -1.56667668321e-13 -1.16045270908e-14 2.46148168823e-15 1.5940079099e-14 0.326156379209 6.66102232606e-15 -4.35762537165e-14 -1.68552730456e-15 7.43849426499e-15 5.0524325174e-15 -0.201536448538 2.22900686985e-15 1.99567168827e-17 -1.60369882903e-16 -2.8951756944e-15 2.61505758989e-16 -0.119446022353 1.40935790424e-15 -1.33226762955e-15 1.58993794629e-15 -6.93889390391e-16 -3.55807350721e-16 -0.0798141419498 -9.09113008293e-16 8.97744895604e-16 -9.62023912116e-17 7.82788291721e-17 5.57834720943e-16 -0.0445431899435 -3.58054642131e-16 -1.04430353254e-15 -2.08557077781e-16 5.82867087928e-16 -1.12303073003e-16 -0.0303925302551 -5.59330392325e-16 1.92396852098e-17 -7.16955493209e-19 -8.56999557044e-18 1.02590609429e-16 0.0153530629577 1.74396368704e-16 -5.55111512313e-17 -2.74265946756e-16 6.66133814775e-16 2.89725623218e-17 -0.0112707752634 -9.59122459786e-17 -7.40153234508e-17 1.06909453643e-16 -5.06113258541e-17 -4.06741708982e-17 -0.00448510845303 4.48375153937e-17 8.32667268469e-17 -1.1661643172e-17 -2.77555756156e-17 6.18250733374e-17 0.0035710138082 1.4255867903e-17 4.76080214262e-17 1.10025991696e-17 5.56137744801e-17 -1.16715131275e-17 0.00035034619541 -2.34910517046e-17 -6.93889390391e-18 4.71040414201e-17 1.04083408559e-16 -4.81011920968e-17 0.000300850397851 2.05619260732e-17 -6.47373344571e-17 -3.29174474722e-17 5.31806309192e-17 3.1747470898e-17 0.00113932735441 2.48617977635e-17 -8.32667268469e-17 2.84135146545e-17 0.0 9.07751530278e-17 0.000995859747323 3.20734416411e-17 9.02311267199e-17 8.97144548482e-17 2.05974840027e-17 1.52694991142e-17 0.00147507540869 -1.51615909298e-17 -2.22044604925e-16 -2.36280156991e-17 -6.66133814775e-16 -2.0712437966e-17 0.00131115505405 -2.70448497804e-17
9.67360754541       4.10782519111e-15 -3.14596025419e-13 -2.58787464758e-14 -0.869913034921 -1.84985169749e-13 -7.96010892066e-15 4.40796167187e-14 0.433032138139 1.18477515369e-14 4.06224300959e-15 -6.54892806651e-14 -4.63595392555e-15 7.77156117238e-16 -2.11872843904e-15 3.90491444015e-15 0.161018794894 -4.14853720804e-15 -2.16014655864e-15 -4.4003240746e-15 0.145215950833 -2.47070058617e-16 -8.84859074414e-16 3.5527136788e-15 1.59587409307e-15 -1.38777878078e-16 7.40753110613e-16 -1.0372594279e-15 0.0705543042043 5.92875453317e-16 6.80601348477e-16 3.30030002604e-16 0.0499756468481 4.67454479204e-16 -2.34457298731e-17 1.49880108324e-15 3.5921663507e-16 -7.21644966006e-16 4.32110019072e-16 -2.92186841311e-16 0.0287530171083 5.25722860105e-16 3.98519060372e-17 1.07888122092e-16 0.016085082481 -5.16766799335e-17 3.49472690581e-16 1.11022302463e-16 2.28904987706e-17 5.55111512313e-16 -4.69619810234e-17 -2.09129925465e-16 -0.0109306072754 -1.25798933547e-16 -1.06941566159e-16 -2.44281746994e-16 -0.00456185195257 1.41915511179e-16 1.0958951213e-16 2.77555756156e-17 5.90621043154e-17 1.38777878078e-16 4.04392190399e-17 -8.28282691885e-17 0.00347398882918 4.85491611456e-17 1.18139624693e-16 1.44372326433e-17 0.000347822861948 -1.66585791716e-17 -2.2741601115e-17 -1.83880688454e-16 -6.14520244251e-18 4.85722573274e-17 -1.06372194478e-16 -1.19808047662e-16 0.00029409107375 9.09868067427e-18 1.2291926691e-16 1.46842126824e-16 0.00117111278576 1.92109634154e-17 1.7061979514e-17 6.59194920871e-17 -1.77978378258e-16 1.90819582357e-17 -5.41157127318e-17 6.9338089532e-17 -0.000967153796118 -7.14310746832e-17 4.11371134875e-17 -1.32382129804e-16 0.00151471144558 3.10991857951e-17 -7.4455390615e-18 0.0 5.03736720126e-18 0.0 4.24117886337e-18 7.96040560544e-18 -0.00128349450162
10.2588190165       1.31838984174e-15 -1.8350641975e-13 -1.35106990048e-13 1.63260792748e-13 -0.803099243507 -1.25714612715e-13 -0.551515251096 4.0092559446e-14 -3.811046889e-15 4.39112727094e-15 -1.51822998617e-14 5.27076365563e-16 -9.99200722163e-16 -3.20402472476e-15 5.99443809232e-16 2.70749033996e-16 -0.10576413258 -3.71465432811e-15 0.177465519367 2.46076965062e-15 -1.01898778775e-15 2.37306249305e-16 -1.61242547092e-15 -7.7646098806e-16 1.2490009027e-16 -2.07142593872e-16 -1.6317504165e-15 1.0241264494e-15 -0.0592331889213 6.35882477628e-16 -0.0590657948738 7.62037137548e-16 4.03458257852e-16 -2.37431459068e-17 -6.66133814775e-16 2.34462732528e-16 0.0 -2.6661661927e-16 7.54930409653e-16 1.46523900118e-16 -0.0274545366394 1.84218961868e-16 0.0167692597891 -1.93354115071e-17 -3.58718865469e-16 -7.34605633607e-17 -2.56739074445e-16 4.91499775905e-16 -7.97972798949e-17 2.62894764639e-17 -1.23310170253e-16 -3.85843147289e-16 -0.010678265045 -6.52220561561e-17 0.00445234845906 3.24710655073e-16 -1.66285123011e-16 1.10710456653e-16 5.55111512313e-17 -2.50644837283e-16 5.55111512313e-17 -2.3752716184e-17 -1.45023020422e-16 1.79865868091e-16 0.00336093162909 -9.83101971804e-17 -0.000313139470688 9.22468789296e-17 1.18269979994e-16 2.08923095625e-16 -8.32667268469e-17 -2.30560985363e-16 -8.32667268469e-17 -4.23123245688e-17 -2.07058488222e-17 -9.04638878873e-17 0.000268495054956 8.76448331003e-17 -0.00120678550239 1.35814818243e-16 6.75132199109e-18 -1.60178091424e-17 -1.66533453694e-16 -1.23841277179e-16 -2.22044604925e-16 -2.56284439339e-17 7.93599177036e-17 -5.25074664446e-17 -0.000969270858692 -9.21182788982e-18 -0.00156893486576 2.39247269247e-18 5.05757618332e-17 7.07592038545e-17 -3.12250225676e-17 -3.30871012655e-17 -1.11022302463e-16 2.13722130958e-17 2.77865719266e-18 -2.10357284296e-17
30.645091493       -1.52655665886e-15 -3.51867656549e-15 -5.88738428525e-15 -2.36918130634e-15 1.04180258306e-14 -0.949175985355 2.01094719463e-13 -2.2777567442e-14 -1.86823606459e-14 -9.30225541667e-16 4.03288513695e-14 -7.34844077222e-15 2.55351295664e-15 6.02948025207e-15 -1.38822151082e-15 3.11681360629e-15 9.91127855847e-16 -0.288662804719 -5.99769921012e-15 -6.26293129184e-15 5.37489359355e-16 -2.37883539148e-15 -1.44328993201e-15 7.90509083534e-17 -1.11022302463e-16 9.07122112437e-16 -4.19885243498e-16 -1.57588070844e-15 -2.39158167198e-16 0.116302876596 1.384543764e-15 1.49775509165e-15 1.23844494584e-15 -4.6824164846e-16 5.27355936697e-16 1.23005650221e-16 1.94289029309e-16 -9.60424569778e-17 -4.06670094175e-16 -5.80715536732e-16 4.69434926911e-16 -0.0442304142295 6.63787800163e-16 3.10071670759e-16 1.53455629622e-16 1.57870843831e-16 1.94289029309e-16 1.7674338664e-16 -1.66533453694e-16 3.41890302295e-16 2.31397825533e-16 -4.00316197066e-16 5.69813554139e-17 0.0153297481232 -1.78496403532e-16 -2.25691334871e-16 -1.61885249252e-16 2.94330380442e-16 1.11022302463e-16 -1.18191777044e-17 2.77555756156e-16 3.90651446468e-18 -1.25497398875e-16 -1.40257745719e-16 -2.58565089875e-16 0.00366883636968 -1.81420030063e-16 4.37060509501e-18 3.42982776814e-17 -2.14778151105e-17 8.67361737988e-18 -1.38809755121e-16 2.08166817117e-17 3.22290560536e-17 2.15515004073e-16 -3.13050772107e-17 7.93565949033e-17 -0.000996427278192 -5.86400409707e-17 1.34293794859e-16 -2.2176074799e-17 4.31875148972e-17 -1.66533453694e-16 3.95536067393e-17 5.55111512313e-17 1.15462565323e-16 -1.68550797161e-16 -1.2120789412e-16 6.1455062206e-17 -0.0025672836526 -1.97603963419e-16 2.09185442179e-17 1.04548201675e-17 1.15757016591e-16 5.55111512313e-17 -3.48528931366e-17 -1.11022302463e-16 1.70394885396e-17 1.31860277887e-16 3.48004967809e-17
31.2777789653       -1.15879528195e-15 1.37542871565e-13 1.03484097502e-13 -1.38770593201e-13 0.593565612063 -1.56868343408e-13 -0.770723628546 5.44892289495e-14 3.3736971988e-15 1.71634338154e-15 2.07889261361e-14 3.31770794146e-15 -3.33066907388e-16 -4.17707334915e-15 3.13236517248e-16 2.96756000651e-15 -0.0837112341518 -5.02584699058e-15 0.196344537716 6.76456907255e-16 -8.74265148779e-16 1.06989629386e-15 -8.60422844084e-16 -2.4486048979e-16 5.55111512313e-17 -4.65491519997e-16 7.79934442727e-17 9.16639098727e-16 -0.0467373261114 2.83893258454e-16 -0.0691901230519 1.04540719794e-15 -4.11065688042e-16 -4.02101039529e-16 -1.8561541193e-16 -5.70831542664e-16 9.71445146547e-17 -1.49347835355e-17 2.57826875861e-16 -1.26771241055e-16 -0.0202286769171 9.56027055158e-17 0.0241970710042 -1.11082507939e-16 3.10020304063e-16 -8.18780004737e-17 -2.22044604925e-16 -1.23349697719e-16 -1.11022302463e-16 -2.36754075375e-17 4.49312936312e-16 -1.21123738456e-16 -0.00610241510372 -1.0220284179e-16 0.00933666907418 7.55261020848e-17 -3.55998915742e-16 1.11716651939e-16 5.55111512313e-17 -6.65682753012e-17 0.0 -1.30889487806e-16 6.40701674912e-17 -2.77170307091e-17 0.00050569252781 -1.8277912645e-16 -0.00315042726993 -2.17353573469e-17 1.08132480934e-16 -4.38379710391e-17 -4.16333634234e-17 2.45708758729e-16 -6.93889390391e-17 -2.48836609933e-17 1.02668219762e-16 -9.15402748298e-17 -0.00128387014737 -2.21368938208e-17 0.000227322945544 5.6403876283e-17 -7.99960046559e-17 -4.68035045177e-17 5.55111512313e-17 -1.8054215965e-19 -6.93889390391e-18 1.2272698202e-17 -8.83789353013e-17 -7.37548303994e-17 -0.00160078646313 7.99730202126e-17 -0.000999837719409 -4.66265555851e-17 6.08407600534e-17 4.44341650932e-17 5.55111512313e-17 -5.0417397125e-17 -5.55111512313e-17 9.52061071451e-17 1.07423442699e-16 -1.65694756026e-17
33.0314240047       -2.56045185054e-15 1.71336788341e-13 -8.44693886995e-15 0.485017988677 1.03845517016e-13 -2.01320647611e-14 5.19235995315e-14 0.836633882035 5.70634446929e-15 2.90018975349e-15 -4.26603197212e-14 -1.13694700062e-14 -2.77555756156e-17 -4.53810904803e-15 2.51991167957e-15 0.160340887761 -5.39592259624e-15 -4.24226793708e-15 -4.00038121631e-15 0.174529603808 4.69779700652e-16 -1.54347249488e-15 3.0253577421e-15 1.13483390894e-15 2.77555756156e-16 1.01160081144e-15 -7.41397123446e-16 0.060665869468 4.67921350112e-16 -1.7492993369e-16 8.21527433303e-16 0.0617079462005 6.07551263658e-16 9.50882118021e-16 1.4155343564e-15 2.10616995039e-16 -2.49800180541e-16 -1.11882365174e-16 -6.86997974895e-16 0.0214638948352 -3.64568276299e-16 -2.29153116612e-16 6.38887334908e-17 0.0233380014392 3.88116734608e-17 1.22454587676e-16 1.94289029309e-16 -3.18293176397e-16 2.63677968348e-16 -5.92807219558e-17 -6.52092051343e-17 -0.00606630257022 -1.47288671543e-18 -1.61488183862e-16 -5.07144322575e-17 -0.00918724120538 1.29985220263e-16 -1.90915712212e-17 -1.66533453694e-16 9.27661828846e-17 -1.66533453694e-16 3.05654008833e-16 -7.17226530131e-18 0.000484251183628 3.34810984329e-16 4.10724343665e-16 4.36505823599e-16 0.00307127636006 -2.57134164179e-16 -1.75871469089e-16 2.77555756156e-17 2.11886430624e-16 3.46944695195e-17 -1.49797329802e-16 -1.21899964952e-16 -0.00129585444959 1.70447751637e-16 -5.12264431464e-17 7.05096882148e-17 -0.000232886383748 -1.36242884566e-17 8.92045126815e-17 -1.11022302463e-16 1.3343007215e-16 2.77555756156e-17 -2.76417938925e-17 -4.17986002531e-17 -0.00160758618408 -2.0985149518e-18 -1.9646561422e-17 -1.09708690646e-16 0.00095440374549 3.64317307901e-19 1.03477177911e-16 2.22044604925e-16 -7.69551532562e-17 -2.77555756156e-16 -6.6441912376e-17 -5.39493691822e-17 -0.00135440120718
35.5717523536       3.79141162909e-14 -2.72495171179e-14 -0.394366007131 1.43463663672e-14 6.32166902315e-14 -1.44185588593e-14 -1.65005347727e-15 -1.70023854296e-14 0.868762162013 1.6110680914e-14 -1.14769305171e-13 -1.44581930741e-14 3.30291349826e-15 9.59567611829e-15 -0.237178969418 7.19990367288e-16 1.22563905132e-15 -1.31583030737e-16 -3.00910017034e-15 1.27699463967e-15 -0.154023903696 1.85981929923e-15 -2.80331313718e-15 9.7766628749e-16 -5.55111512313e-16 2.63371605556e-17 -0.0730258932666 -1.20851142372e-15 1.16085207596e-15 -8.79846922695e-16 -1.03505178156e-16 1.09564400715e-15 -0.0569369187594 -3.61555553294e-16 -1.33226762955e-15 -1.40599214358e-16 7.77156117238e-16 -1.34136628253e-16 -0.0231690122518 -5.81600046829e-16 -1.24583713476e-17 -1.31104163096e-16 -2.8258697321e-16 1.1100272094e-16 0.0224553916296 1.29290075986e-16 0.0 -4.74748314185e-16 2.77555756156e-16 -1.6335255914e-16 -0.00620255405642 -2.30811094416e-16 -5.3099253075e-17 1.52388605176e-16 6.89024840812e-17 -5.00222216281e-17 -0.00893976987965 5.32579584086e-17 1.38777878078e-17 9.49720301635e-17 1.11022302463e-16 2.03540479507e-16 0.000460089629801 1.85908813747e-17 1.42733844243e-16 2.28199975977e-16 2.44181847619e-16 -1.12452690312e-16 0.00298856647194 -3.92815997602e-17 -1.66533453694e-16 1.78397709276e-16 5.55111512313e-17 9.14846170632e-18 -0.00133702390177 -7.31045335494e-18 5.21773239043e-17 -9.77242693145e-17 2.98242001223e-17 -6.35634460644e-17 -0.000231183744333 7.86077867806e-17 -3.46944695195e-17 7.29270284124e-17 2.22044604925e-16 8.5705282065e-17 0.00165274537727 8.00050618819e-17 -3.56281380892e-17 -5.13574706649e-17 -6.77971044602e-17 1.45008296834e-17 0.000928012295941 1.82813521493e-17 8.32667268469e-17 -3.27224581946e-17 0.0 7.15084925652e-17 0.00138638190029 -9.31507617168e-18
38.4198581322       1.18481613409e-15 0.322701133223 -2.42683703542e-14 -1.15321337705e-13 -7.17236553018e-14 -3.11535504228e-15 5.88641877471e-15 -3.35816289121e-15 -1.51735897445e-14 0.86731574905 -1.44051437445e-14 2.12294516235e-14 1.59247615095e-15 -0.337358700142 -8.93834328064e-15 -6.02916151625e-15 3.86618457569e-16 -1.71949559236e-15 -6.74763446491e-16 -6.76433621033e-16 -1.82651753867e-15 -0.133576027095 -4.30211422042e-15 -3.71302619298e-17 -2.08166817117e-16 -0.088942534746 2.01322464413e-16 1.11746093714e-15 -3.17185985065e-16 -8.99019717545e-17 -2.77571870335e-16 -2.21905553913e-16 -1.69377689159e-16 0.0530770300691 -2.33146835171e-15 2.77069522613e-16 -1.33226762955e-15 -0.0254022560821 -8.65127641126e-17 2.28151654943e-17 1.39009759638e-17 -5.45114985291e-17 2.60667097021e-16 1.31087339797e-17 -3.17444767384e-17 0.021654159061 8.32667268469e-17 2.58374308481e-16 2.77555756156e-16 -0.00633142407324 -3.82080194107e-16 -2.47287570651e-16 -2.24111387423e-16 9.4370519771e-17 9.31418391097e-17 -1.7419135498e-16 1.03986214146e-16 -0.00868352707727 -5.55111512313e-17 -1.31459196623e-16 -4.16333634234e-17 -0.000410842805189 -6.70965997409e-18 1.04864967144e-16 -5.02514955182e-17 1.33777196328e-16 1.428539041e-16 3.95869448761e-17 -1.27932477138e-16 0.00290803552933 -5.55111512313e-17 4.54152637634e-17 2.77555756156e-16 -0.00138282469715 -3.56642162948e-17 1.24234689784e-16 5.63079911561e-17 -2.08099979621e-17 1.08577722788e-16 4.22674821116e-17 2.14274893463e-17 -0.000231795089215 5.55111512313e-17 -3.46007924806e-17 -1.11022302463e-16 0.00169791760718 -3.62568850822e-17 -7.66905622019e-17 1.40386282901e-17 1.60139487551e-17 -3.43748117481e-17 -1.33386547436e-17 3.54744175978e-17 -0.000902960391648 -4.16333634234e-17 2.6459750376e-18 2.77555756156e-17 0.0014210677155 2.46507543065e-17 -2.02983522662e-17
